17/11/2022 13:27:24.759779
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
0.090,-0.001,-0.692
-0.182,-0.046,-0.882
-0.426,-0.083,-1.134
-0.674,-0.116,-1.275
-0.880,-0.142,-0.209
-0.642,-0.095,-0.074
-0.439,-0.060,0.274
-0.186,-0.024,-0.206
-0.189,-0.030,-0.216
-0.196,-0.035,-0.148
-0.176,-0.030,0.700
0.132,0.021,0.917
0.410,0.063,1.112
0.657,0.096,1.280
0.874,0.123,0.203
0.640,0.076,0.106
0.450,0.043,-0.292
0.190,0.005,0.268
0.217,0.016,0.251
0.229,0.021,0.131
0.194,0.013,-0.737
-0.131,-0.041,-0.946
-0.416,-0.083,-1.196
-0.688,-0.119,-1.339
-0.912,-0.147,-0.256
-0.680,-0.100,-0.139
-0.486,-0.067,0.203
-0.242,-0.032,-0.262
-0.244,-0.038,-0.183
-0.220,-0.037,-0.111
-0.178,-0.029,0.723
0.140,0.022,0.920
0.416,0.064,1.112
0.661,0.096,1.266
0.872,0.123,0.219
0.643,0.076,0.102
0.452,0.043,-0.300
0.189,0.005,0.232
0.203,0.013,0.202
0.203,0.017,0.110
0.170,0.010,-0.732
-0.145,-0.042,-0.937
-0.422,-0.083,-1.148
-0.675,-0.116,-1.265
-0.877,-0.141,-0.167
-0.626,-0.092,-0.043
-0.418,-0.056,0.283
-0.170,-0.022,-0.185
-0.171,-0.028,-0.142
-0.159,-0.029,-0.094
-0.133,-0.024,0.692
0.158,0.024,0.853
0.403,0.061,1.028
0.625,0.089,1.143
0.805,0.112,0.086
0.555,0.062,-0.019
0.352,0.028,-0.384
0.094,-0.008,0.158
0.116,0.001,0.177
0.138,0.008,0.099
0.124,0.004,-0.702
-0.164,-0.043,-0.869
-0.410,-0.081,-1.098
-0.650,-0.112,-1.238
-0.851,-0.137,-0.163
-0.608,-0.089,-0.047
-0.407,-0.056,0.283
-0.163,-0.021,-0.189
-0.167,-0.027,-0.128
-0.152,-0.028,-0.080
-0.123,-0.022,0.738
