28/10/2022 10:59:55.369245
Waveform Generator Sample Rate,1000Hz
Keithley Sample Rate,1000Hz
Search Coil Sample Rate,1000Hz
Waveform Generator,Keithley,Search Coil
-0.104,-0.033,-1.480
-0.590,-0.077,-1.417
-0.875,-0.102,-0.219
-0.636,-0.063,0.404
-0.263,-0.014,0.548
0.012,0.022,-0.088
-0.027,0.006,-0.976
-0.354,-0.043,-1.034
-0.588,-0.059,0.238
-0.292,-0.022,0.947
0.161,0.043,1.827
0.743,0.110,1.839
1.125,0.130,0.315
0.831,0.091,-0.184
0.466,0.031,-0.797
0.018,-0.015,0.140
0.057,-0.035,0.419
0.184,0.022,1.091
0.499,0.057,-0.005
0.318,0.021,-0.984
-0.145,-0.031,-1.405
-0.589,-0.084,-1.794
-1.001,-0.107,0.014
-0.637,-0.059,0.322
-0.285,-0.014,0.866
0.121,0.038,0.089
0.108,0.020,-0.763
-0.200,-0.020,-0.949
-0.461,-0.048,-0.059
-0.313,-0.026,0.904
0.114,-0.000,0.967
0.413,0.063,1.548
0.806,0.100,0.272
0.610,0.060,-0.532
0.184,0.008,-0.739
-0.141,-0.017,0.348
0.033,-0.004,0.765
0.289,0.035,1.116
0.575,0.058,-0.068
0.341,0.025,-0.920
-0.112,-0.058,-1.858
-0.729,-0.094,-1.552
-1.008,-0.101,0.015
-0.638,-0.064,0.353
-0.283,-0.010,0.888
0.126,0.000,-0.420
-0.068,0.005,-0.608
-0.257,-0.014,-0.759
-0.428,-0.041,0.105
-0.234,-0.008,1.244
0.288,0.049,1.604
0.749,0.101,1.773
1.101,0.093,0.016
0.703,0.075,-0.294
0.342,0.031,-0.986
-0.121,-0.032,0.059
-0.056,-0.014,0.790
0.241,0.023,0.845
0.429,0.047,0.025
0.278,0.028,-0.959
-0.157,-0.035,-1.505
-0.633,-0.082,-1.510
-0.935,-0.108,-0.229
-0.678,-0.069,0.365
-0.305,-0.018,0.626
0.019,0.024,0.027
0.018,-0.013,-1.162
-0.398,-0.039,-0.955
-0.587,-0.053,0.173
-0.312,-0.024,0.898
0.118,0.028,1.581
0.626,0.061,1.360
0.885,0.097,0.172
0.624,0.066,-0.273
0.302,0.012,-0.923
-0.132,-0.031,0.074
-0.059,-0.020,0.431
0.106,0.015,1.012
0.421,0.053,0.123
0.312,0.024,-0.887
-0.115,-0.027,-1.319
-0.543,-0.103,-1.929
-1.026,-0.112,-0.074
-0.679,-0.057,0.587
-0.227,-0.005,0.826
0.145,0.034,0.007
0.095,0.018,-0.786
-0.217,-0.024,-1.067
-0.515,-0.081,-0.301
-0.434,-0.033,1.128
0.121,0.044,1.854
0.731,0.100,1.795
1.097,0.129,0.463
0.860,0.061,-0.611
0.332,0.021,-0.683
-0.025,-0.007,0.360
0.112,0.002,0.693
0.315,0.034,1.054
0.569,0.054,-0.175
0.300,0.019,-0.915
-0.136,-0.062,-2.030
-0.803,-0.106,-1.744
-1.123,-0.120,-0.175
-0.779,-0.080,0.331
-0.381,-0.024,0.932
0.079,-0.002,-0.354
-0.076,0.004,-0.638
-0.272,-0.018,-0.811
-0.458,-0.046,0.027
-0.281,-0.018,0.988
0.168,0.034,1.470
0.625,0.086,1.760
1.015,0.116,0.177
0.735,0.084,-0.248
0.378,0.031,-0.816
-0.035,-0.021,0.159
0.034,-0.001,1.066
0.396,0.042,1.001
0.578,0.064,0.109
0.403,0.010,-1.356
-0.221,-0.036,-1.443
-0.648,-0.075,-1.453
-0.924,-0.103,-0.240
-0.674,-0.062,0.530
-0.244,-0.009,0.727
0.099,0.027,-0.035
0.046,-0.015,-1.291
-0.426,-0.044,-1.024
-0.629,-0.057,0.141
-0.351,-0.028,0.913
0.097,0.027,1.569
0.611,0.056,1.330
0.854,0.104,0.338
0.661,0.074,-0.451
0.270,0.008,-0.860
-0.130,-0.023,0.303
0.023,-0.009,0.737
0.273,0.030,1.062
0.541,0.025,-0.401
0.203,0.014,-0.973
-0.213,-0.031,-1.265
-0.585,-0.083,-1.720
-0.977,-0.110,-0.163
-0.681,-0.072,0.221
-0.378,-0.019,0.860
0.057,-0.003,-0.430
-0.116,0.000,-0.642
-0.300,-0.019,-0.735
-0.448,-0.043,-0.025
-0.293,-0.020,0.996
0.160,0.002,1.126
0.497,0.076,1.629
0.889,0.112,0.396
0.707,0.071,-0.336
0.333,0.020,-0.699
-0.037,-0.051,-0.184
-0.086,-0.015,0.749
0.205,-0.004,0.755
0.399,0.036,0.106
0.290,0.029,-0.567
-0.016,-0.019,-1.407
-0.508,-0.072,-1.518
-0.861,-0.128,-0.747
-0.814,-0.081,0.438
-0.364,-0.015,1.076
0.145,0.031,-0.068
0.068,0.017,-0.619
-0.180,-0.046,-1.407
-0.609,-0.059,-0.031
-0.397,-0.022,1.020
0.106,0.027,1.457
0.582,0.086,1.803
1.002,0.114,0.263
0.732,0.075,-0.283
0.363,-0.006,-1.281
-0.219,-0.039,0.075
-0.112,-0.015,0.944
0.261,0.027,1.001
0.516,0.051,0.089
0.354,-0.002,-1.330
-0.245,-0.042,-1.606
-0.728,-0.123,-2.095
-1.192,-0.141,-0.426
-0.912,-0.085,0.585
-0.379,-0.025,0.860
0.058,0.024,0.118
0.074,-0.012,-1.036
-0.319,-0.031,-0.859
-0.503,-0.042,0.276
